,frame,label,time,x,xoffset,y,yoffset
0,1,t4,00:00:00,363.0,26.0,314.0,26.0
1,2,t4,00:00:00,363.0,26.0,314.0,26.0
2,3,t4,00:00:00,364.0,26.0,316.0,26.0
3,4,t4,00:00:00,363.0,26.0,319.0,26.0
4,5,t4,00:00:00,364.0,26.0,321.0,26.0
5,6,t4,00:00:00,365.0,26.0,323.0,26.0
6,7,t4,00:00:00,365.0,26.0,325.0,26.0
7,8,t4,00:00:00,365.0,26.0,328.0,26.0
8,9,t4,00:00:00,366.0,26.0,333.0,26.0
9,10,t4,00:00:00,366.0,26.0,336.0,26.0
10,11,t4,00:00:00,369.0,26.0,339.0,26.0
11,12,t4,00:00:00,370.0,26.0,342.0,26.0
12,13,t4,00:00:00,372.0,26.0,345.0,26.0
13,14,t4,00:00:00,373.0,26.0,350.0,26.0
14,15,t4,00:00:00,376.0,26.0,353.0,26.0
15,16,t4,00:00:00,377.0,26.0,353.0,26.0
16,17,t4,00:00:00,377.0,26.0,355.0,26.0
17,18,t4,00:00:00,378.0,26.0,359.0,26.0
18,19,t4,00:00:00,378.0,26.0,365.0,26.0
19,20,t4,00:00:00,380.0,26.0,370.0,26.0
20,21,t4,00:00:00,382.0,26.0,373.0,26.0
21,22,t4,00:00:00,385.0,26.0,377.0,26.0
22,23,t4,00:00:00,387.0,26.0,380.0,26.0
23,24,t4,00:00:00,390.0,26.0,387.0,26.0
24,25,t4,00:00:00,393.0,26.0,388.0,26.0
25,26,t4,00:00:00,398.0,26.0,392.0,26.0
26,27,t4,00:00:00,400.0,26.0,394.0,26.0
27,28,t4,00:00:00,403.0,26.0,399.0,26.0
28,29,t4,00:00:00,405.0,26.0,401.0,26.0
29,30,t4,00:00:01,406.0,26.0,402.0,26.0
30,31,t4,00:00:01,411.0,26.0,405.0,26.0
31,32,t4,00:00:01,415.0,26.0,410.0,26.0
32,33,t4,00:00:01,416.0,26.0,416.0,26.0
33,34,t4,00:00:01,420.0,26.0,420.0,26.0
34,35,t4,00:00:01,423.0,26.0,424.0,26.0
35,36,t4,00:00:01,426.0,26.0,427.0,26.0
36,37,t4,00:00:01,428.0,26.0,429.0,26.0
37,38,t4,00:00:01,433.0,26.0,434.0,26.0
38,39,t4,00:00:01,437.0,26.0,436.0,26.0
39,40,t4,00:00:01,443.0,26.0,439.0,26.0
40,41,t4,00:00:01,447.0,26.0,442.0,26.0
41,42,t4,00:00:01,451.0,26.0,446.0,26.0
42,43,t4,00:00:01,454.0,26.0,448.0,26.0
43,44,t4,00:00:01,460.0,26.0,450.0,26.0
44,45,t4,00:00:01,463.0,26.0,453.0,26.0
45,46,t4,00:00:01,467.0,26.0,457.0,26.0
46,47,t4,00:00:01,472.0,26.0,460.0,26.0
47,48,t4,00:00:01,476.0,26.0,460.0,26.0
48,49,t4,00:00:01,483.0,26.0,463.0,26.0
49,50,t4,00:00:01,486.0,26.0,465.0,26.0
50,51,t4,00:00:01,490.0,26.0,467.0,26.0
51,52,t4,00:00:01,495.0,26.0,468.0,26.0
52,53,t4,00:00:01,502.0,26.0,468.0,26.0
53,54,t4,00:00:01,505.0,26.0,469.0,26.0
54,55,t4,00:00:01,510.0,26.0,472.0,26.0
55,56,t4,00:00:01,514.0,26.0,473.0,26.0
56,57,t4,00:00:01,521.0,26.0,473.0,26.0
57,58,t4,00:00:01,525.0,26.0,474.0,26.0
58,59,t4,00:00:01,530.0,26.0,475.0,26.0
59,60,t4,00:00:02,536.0,26.0,475.0,26.0
60,61,t4,00:00:02,539.0,26.0,474.0,26.0
61,62,t4,00:00:02,544.0,26.0,474.0,26.0
62,63,t4,00:00:02,548.0,26.0,474.0,26.0
63,64,t4,00:00:02,553.0,26.0,474.0,26.0
64,65,t4,00:00:02,557.0,26.0,475.0,26.0
65,66,t4,00:00:02,565.0,26.0,472.0,26.0
66,67,t4,00:00:02,568.0,26.0,472.0,26.0
67,68,t4,00:00:02,574.0,26.0,471.0,26.0
68,69,t4,00:00:02,579.0,26.0,471.0,26.0
69,70,t4,00:00:02,583.0,26.0,467.0,26.0
70,71,t4,00:00:02,585.0,26.0,466.0,26.0
71,72,t4,00:00:02,588.0,26.0,463.0,26.0
72,73,t4,00:00:02,592.0,26.0,460.0,26.0
73,74,t4,00:00:02,594.0,26.0,458.0,26.0
74,75,t4,00:00:02,594.0,26.0,456.0,26.0
75,76,t4,00:00:02,594.0,26.0,455.0,26.0
76,77,t4,00:00:02,594.0,26.0,454.0,26.0
77,78,t4,00:00:02,594.0,26.0,452.0,26.0
78,79,t4,00:00:02,595.0,26.0,449.0,26.0
79,80,t4,00:00:02,596.0,26.0,446.0,26.0
80,81,t4,00:00:02,597.0,26.0,444.0,26.0
81,82,t4,00:00:02,596.0,26.0,444.0,26.0
82,83,t4,00:00:02,595.0,26.0,444.0,26.0
83,84,t4,00:00:02,595.0,26.0,444.0,26.0
84,85,t4,00:00:02,595.0,26.0,444.0,26.0
85,86,t4,00:00:02,597.0,26.0,443.0,26.0
86,87,t4,00:00:02,598.0,26.0,443.0,26.0
87,88,t4,00:00:02,598.0,26.0,444.0,26.0
88,89,t4,00:00:02,599.0,26.0,444.0,26.0
89,90,t4,00:00:03,600.0,26.0,445.0,26.0
90,91,t4,00:00:03,602.0,26.0,446.0,26.0
91,92,t4,00:00:03,605.0,26.0,447.0,26.0
92,93,t4,00:00:03,608.0,26.0,447.0,26.0
93,94,t4,00:00:03,612.0,26.0,445.0,26.0
94,95,t4,00:00:03,615.0,26.0,445.0,26.0
95,96,t4,00:00:03,618.0,26.0,445.0,26.0
96,97,t4,00:00:03,620.0,26.0,445.0,26.0
97,98,t4,00:00:03,621.0,26.0,445.0,26.0
98,99,t4,00:00:03,623.0,26.0,445.0,26.0
99,100,t4,00:00:03,624.0,26.0,445.0,26.0
100,101,t4,00:00:03,626.0,26.0,445.0,26.0
101,102,t4,00:00:03,627.0,26.0,445.0,26.0
102,103,t4,00:00:03,628.0,26.0,445.0,26.0
103,104,t4,00:00:03,629.0,26.0,445.0,26.0
104,105,t4,00:00:03,629.0,26.0,445.0,26.0
105,106,t4,00:00:03,630.0,26.0,444.0,26.0
106,107,t4,00:00:03,632.0,26.0,444.0,26.0
107,108,t4,00:00:03,634.0,26.0,443.0,26.0
108,109,t4,00:00:03,636.0,26.0,442.0,26.0
109,110,t4,00:00:03,639.0,26.0,441.0,26.0
110,111,t4,00:00:03,641.0,26.0,440.0,26.0
111,112,t4,00:00:03,644.0,26.0,440.0,26.0
112,113,t4,00:00:03,648.0,26.0,439.0,26.0
113,114,t4,00:00:03,652.0,26.0,440.0,26.0
114,115,t4,00:00:03,656.0,26.0,439.0,26.0
115,116,t4,00:00:03,658.0,26.0,438.0,26.0
116,117,t4,00:00:03,660.0,26.0,437.0,26.0
117,118,t4,00:00:03,663.0,26.0,435.0,26.0
118,119,t4,00:00:03,666.0,26.0,434.0,26.0
119,120,t4,00:00:04,670.0,26.0,432.0,26.0
120,121,t4,00:00:04,674.0,26.0,430.0,26.0
121,122,t4,00:00:04,677.0,26.0,425.0,26.0
122,123,t4,00:00:04,681.0,26.0,423.0,26.0
123,124,t4,00:00:04,683.0,26.0,422.0,26.0
124,125,t4,00:00:04,688.0,26.0,419.0,26.0
125,126,t4,00:00:04,691.0,26.0,417.0,26.0
126,127,t4,00:00:04,692.0,26.0,415.0,26.0
127,128,t4,00:00:04,695.0,26.0,412.0,26.0
128,129,t4,00:00:04,698.0,26.0,410.0,26.0
129,130,t4,00:00:04,702.0,26.0,408.0,26.0
130,131,t4,00:00:04,705.0,26.0,406.0,26.0
131,132,t4,00:00:04,706.0,26.0,402.0,26.0
132,133,t4,00:00:04,708.0,26.0,401.0,26.0
133,134,t4,00:00:04,709.0,26.0,398.0,26.0
134,135,t4,00:00:04,713.0,26.0,395.0,26.0
135,136,t4,00:00:04,715.0,26.0,391.0,26.0
136,137,t4,00:00:04,716.0,26.0,389.0,26.0
137,138,t4,00:00:04,715.0,26.0,387.0,26.0
138,139,t4,00:00:04,715.0,26.0,382.0,26.0
139,140,t4,00:00:04,714.0,26.0,379.0,26.0
140,141,t4,00:00:04,714.0,26.0,379.0,26.0
141,142,t4,00:00:04,714.0,26.0,377.0,26.0
142,143,t4,00:00:04,715.0,26.0,375.0,26.0
143,144,t4,00:00:04,715.0,26.0,375.0,26.0
144,145,t4,00:00:04,715.0,26.0,374.0,26.0
145,146,t4,00:00:04,715.0,26.0,373.0,26.0
146,147,t4,00:00:04,715.0,26.0,372.0,26.0
147,148,t4,00:00:04,715.0,26.0,369.0,26.0
148,149,t4,00:00:04,716.0,26.0,367.0,26.0
149,150,t4,00:00:05,717.0,26.0,366.0,26.0
150,151,t4,00:00:05,720.0,26.0,360.0,26.0
151,152,t4,00:00:05,720.0,26.0,358.0,26.0
152,153,t4,00:00:05,719.0,26.0,356.0,26.0
153,154,t4,00:00:05,722.0,26.0,350.0,26.0
154,155,t4,00:00:05,724.0,26.0,349.0,26.0
155,156,t4,00:00:05,726.0,26.0,348.0,26.0
156,157,t4,00:00:05,727.0,26.0,346.0,26.0
157,158,t4,00:00:05,729.0,26.0,343.0,26.0
158,159,t4,00:00:05,731.0,26.0,339.0,26.0
159,160,t4,00:00:05,733.0,26.0,337.0,26.0
160,161,t4,00:00:05,734.0,26.0,335.0,26.0
161,162,t4,00:00:05,738.0,26.0,331.0,26.0
162,163,t4,00:00:05,741.0,26.0,327.0,26.0
163,164,t4,00:00:05,742.0,26.0,325.0,26.0
164,165,t4,00:00:05,742.0,26.0,322.0,26.0
