label,frame,time,x,y,xoffset,yoffset
t2,1,00:00:00,360.0,190.0,26.0,21.0
t2,2,00:00:00,360.0,190.0,26.0,21.0
t2,3,00:00:00,359.0,190.0,26.0,21.0
t2,4,00:00:00,359.0,190.0,26.0,21.0
t2,5,00:00:00,359.0,190.0,26.0,21.0
t2,6,00:00:00,357.0,190.0,26.0,21.0
t2,7,00:00:00,356.0,191.0,26.0,21.0
t2,8,00:00:00,356.0,192.0,26.0,21.0
t2,9,00:00:00,355.0,191.0,26.0,21.0
t2,10,00:00:00,354.0,192.0,26.0,21.0
t2,11,00:00:00,354.0,192.0,26.0,21.0
t2,12,00:00:00,354.0,192.0,26.0,21.0
t2,13,00:00:00,353.0,192.0,26.0,21.0
t2,14,00:00:00,353.0,192.0,26.0,21.0
t2,15,00:00:00,352.0,192.0,26.0,21.0
t2,16,00:00:00,352.0,192.0,26.0,21.0
t2,17,00:00:00,351.0,193.0,26.0,21.0
t2,18,00:00:00,350.0,194.0,26.0,21.0
t2,19,00:00:00,350.0,193.0,26.0,21.0
t2,20,00:00:00,350.0,194.0,26.0,21.0
t2,21,00:00:00,350.0,193.0,26.0,21.0
t2,22,00:00:00,350.0,194.0,26.0,21.0
t2,23,00:00:00,349.0,194.0,26.0,21.0
t2,24,00:00:00,349.0,194.0,26.0,21.0
t2,25,00:00:00,349.0,195.0,26.0,21.0
t2,26,00:00:00,349.0,196.0,26.0,21.0
t2,27,00:00:00,348.0,195.0,26.0,21.0
t2,28,00:00:00,347.0,196.0,26.0,21.0
t2,29,00:00:00,347.0,196.0,26.0,21.0
t2,30,00:00:01,347.0,196.0,26.0,21.0
t2,31,00:00:01,347.0,196.0,26.0,21.0
t2,32,00:00:01,347.0,196.0,26.0,21.0
t2,33,00:00:01,347.0,196.0,26.0,21.0
t2,34,00:00:01,347.0,197.0,26.0,21.0
t2,35,00:00:01,347.0,198.0,26.0,21.0
t2,36,00:00:01,347.0,197.0,26.0,21.0
t2,37,00:00:01,347.0,198.0,26.0,21.0
t2,38,00:00:01,347.0,198.0,26.0,21.0
t2,39,00:00:01,347.0,198.0,26.0,21.0
t2,40,00:00:01,348.0,199.0,26.0,21.0
t2,41,00:00:01,348.0,200.0,26.0,21.0
t2,42,00:00:01,348.0,200.0,26.0,21.0
t2,43,00:00:01,348.0,200.0,26.0,21.0
t2,44,00:00:01,348.0,201.0,26.0,21.0
t2,45,00:00:01,348.0,202.0,26.0,21.0
t2,46,00:00:01,349.0,202.0,26.0,21.0
t2,47,00:00:01,349.0,203.0,26.0,21.0
t2,48,00:00:01,350.0,205.0,26.0,21.0
t2,49,00:00:01,350.0,205.0,26.0,21.0
t2,50,00:00:01,350.0,206.0,26.0,21.0
t2,51,00:00:01,350.0,206.0,26.0,21.0
t2,52,00:00:01,351.0,207.0,26.0,21.0
t2,53,00:00:01,351.0,210.0,26.0,21.0
t2,54,00:00:01,351.0,211.0,26.0,21.0
t2,55,00:00:01,351.0,213.0,26.0,21.0
t2,56,00:00:01,351.0,214.0,26.0,21.0
t2,57,00:00:01,351.0,215.0,26.0,21.0
t2,58,00:00:01,351.0,218.0,26.0,21.0
t2,59,00:00:01,351.0,219.0,26.0,21.0
t2,60,00:00:02,350.0,222.0,26.0,21.0
t2,61,00:00:02,351.0,224.0,26.0,21.0
t2,62,00:00:02,350.0,227.0,26.0,21.0
t2,63,00:00:02,350.0,231.0,26.0,21.0
t2,64,00:00:02,350.0,233.0,26.0,21.0
t2,65,00:00:02,349.0,235.0,26.0,21.0
t2,66,00:00:02,348.0,238.0,26.0,21.0
t2,67,00:00:02,348.0,240.0,26.0,21.0
t2,68,00:00:02,348.0,244.0,26.0,21.0
t2,69,00:00:02,348.0,248.0,26.0,21.0
t2,70,00:00:02,347.0,251.0,26.0,21.0
t2,71,00:00:02,345.0,254.0,26.0,21.0
t2,72,00:00:02,344.0,256.0,26.0,21.0
t2,73,00:00:02,343.0,259.0,26.0,21.0
t2,74,00:00:02,343.0,263.0,26.0,21.0
t2,75,00:00:02,343.0,268.0,26.0,21.0
t2,76,00:00:02,343.0,271.0,26.0,21.0
t2,77,00:00:02,342.0,274.0,26.0,21.0
t2,78,00:00:02,341.0,275.0,26.0,21.0
t2,79,00:00:02,341.0,278.0,26.0,21.0
t2,80,00:00:02,340.0,279.0,26.0,21.0
t2,81,00:00:02,340.0,281.0,26.0,21.0
t2,82,00:00:02,341.0,284.0,26.0,21.0
t2,83,00:00:02,341.0,287.0,26.0,21.0
t2,84,00:00:02,342.0,290.0,26.0,21.0
t2,85,00:00:02,342.0,291.0,26.0,21.0
t2,86,00:00:02,342.0,295.0,26.0,21.0
t2,87,00:00:02,343.0,299.0,26.0,21.0
t2,88,00:00:02,345.0,303.0,26.0,21.0
t2,89,00:00:02,346.0,307.0,26.0,21.0
t2,90,00:00:03,348.0,310.0,26.0,21.0
t2,91,00:00:03,348.0,312.0,26.0,21.0
t2,92,00:00:03,348.0,315.0,26.0,21.0
t2,93,00:00:03,349.0,321.0,26.0,21.0
t2,94,00:00:03,352.0,325.0,26.0,21.0
t2,95,00:00:03,354.0,329.0,26.0,21.0
t2,96,00:00:03,354.0,331.0,26.0,21.0
t2,97,00:00:03,354.0,335.0,26.0,21.0
t2,98,00:00:03,355.0,339.0,26.0,21.0
t2,99,00:00:03,356.0,341.0,26.0,21.0
t2,100,00:00:03,357.0,342.0,26.0,21.0
t2,101,00:00:03,359.0,345.0,26.0,21.0
t2,102,00:00:03,360.0,349.0,26.0,21.0
t2,103,00:00:03,360.0,352.0,26.0,21.0
t2,104,00:00:03,360.0,355.0,26.0,21.0
t2,105,00:00:03,360.0,358.0,26.0,21.0
t2,106,00:00:03,363.0,361.0,26.0,21.0
t2,107,00:00:03,364.0,364.0,26.0,21.0
t2,108,00:00:03,365.0,365.0,26.0,21.0
t2,109,00:00:03,365.0,371.0,26.0,21.0
t2,110,00:00:03,366.0,374.0,26.0,21.0
t2,111,00:00:03,369.0,375.0,26.0,21.0
t2,112,00:00:03,372.0,379.0,26.0,21.0
t2,113,00:00:03,373.0,382.0,26.0,21.0
t2,114,00:00:03,374.0,385.0,26.0,21.0
t2,115,00:00:03,376.0,388.0,26.0,21.0
t2,116,00:00:03,378.0,389.0,26.0,21.0
t2,117,00:00:03,380.0,391.0,26.0,21.0
t2,118,00:00:03,383.0,394.0,26.0,21.0
t2,119,00:00:03,386.0,395.0,26.0,21.0
t2,120,00:00:04,388.0,397.0,26.0,21.0
t2,121,00:00:04,389.0,399.0,26.0,21.0
t2,122,00:00:04,392.0,402.0,26.0,21.0
t2,123,00:00:04,395.0,403.0,26.0,21.0
t2,124,00:00:04,399.0,405.0,26.0,21.0
t2,125,00:00:04,402.0,407.0,26.0,21.0
t2,126,00:00:04,404.0,408.0,26.0,21.0
t2,127,00:00:04,406.0,410.0,26.0,21.0
t2,128,00:00:04,409.0,414.0,26.0,21.0
t2,129,00:00:04,411.0,416.0,26.0,21.0
t2,130,00:00:04,415.0,418.0,26.0,21.0
t2,131,00:00:04,418.0,420.0,26.0,21.0
t2,132,00:00:04,420.0,422.0,26.0,21.0
t2,133,00:00:04,422.0,425.0,26.0,21.0
t2,134,00:00:04,424.0,429.0,26.0,21.0
t2,135,00:00:04,427.0,432.0,26.0,21.0
t2,136,00:00:04,429.0,432.0,26.0,21.0
t2,137,00:00:04,431.0,434.0,26.0,21.0
t2,138,00:00:04,432.0,434.0,26.0,21.0
t2,139,00:00:04,434.0,436.0,26.0,21.0
t2,140,00:00:04,437.0,441.0,26.0,21.0
t2,141,00:00:04,438.0,443.0,26.0,21.0
t2,142,00:00:04,442.0,446.0,26.0,21.0
t2,143,00:00:04,447.0,447.0,26.0,21.0
t2,144,00:00:04,449.0,448.0,26.0,21.0
t2,145,00:00:04,452.0,450.0,26.0,21.0
t2,146,00:00:04,456.0,453.0,26.0,21.0
t2,147,00:00:04,458.0,454.0,26.0,21.0
t2,148,00:00:04,463.0,453.0,26.0,21.0
t2,149,00:00:04,465.0,454.0,26.0,21.0
t2,150,00:00:05,466.0,454.0,26.0,21.0
t2,151,00:00:05,472.0,455.0,26.0,21.0
t2,152,00:00:05,474.0,457.0,26.0,21.0
t2,153,00:00:05,475.0,457.0,26.0,21.0
t2,154,00:00:05,479.0,459.0,26.0,21.0
t2,155,00:00:05,481.0,459.0,26.0,21.0
t2,156,00:00:05,483.0,458.0,26.0,21.0
t2,157,00:00:05,487.0,456.0,26.0,21.0
t2,158,00:00:05,491.0,456.0,26.0,21.0
t2,159,00:00:05,492.0,457.0,26.0,21.0
