label,frame,time,x,y,xoffset,yoffset
t3,1,00:00:00,367.0,216.0,19.0,19.0
t3,2,00:00:00,367.0,216.0,19.0,19.0
t3,3,00:00:00,369.0,216.0,19.0,19.0
t3,4,00:00:00,370.0,216.0,19.0,19.0
t3,5,00:00:00,372.0,216.0,19.0,19.0
t3,6,00:00:00,374.0,214.0,19.0,19.0
t3,7,00:00:00,375.0,213.0,19.0,19.0
t3,8,00:00:00,375.0,211.0,19.0,19.0
t3,9,00:00:00,376.0,210.0,19.0,19.0
t3,10,00:00:00,378.0,210.0,19.0,19.0
t3,11,00:00:00,379.0,209.0,19.0,19.0
t3,12,00:00:00,378.0,208.0,19.0,19.0
t3,13,00:00:00,380.0,207.0,19.0,19.0
t3,14,00:00:00,381.0,205.0,19.0,19.0
t3,15,00:00:00,380.0,203.0,19.0,19.0
t3,16,00:00:00,381.0,202.0,19.0,19.0
t3,17,00:00:00,380.0,201.0,19.0,19.0
t3,18,00:00:00,381.0,199.0,19.0,19.0
t3,19,00:00:00,381.0,197.0,19.0,19.0
t3,20,00:00:00,382.0,195.0,19.0,19.0
t3,21,00:00:00,383.0,193.0,19.0,19.0
t3,22,00:00:00,382.0,190.0,19.0,19.0
t3,23,00:00:00,384.0,189.0,19.0,19.0
t3,24,00:00:00,385.0,186.0,19.0,19.0
t3,25,00:00:00,386.0,184.0,19.0,19.0
t3,26,00:00:00,387.0,182.0,19.0,19.0
t3,27,00:00:00,390.0,179.0,19.0,19.0
t3,28,00:00:00,393.0,175.0,19.0,19.0
t3,29,00:00:00,393.0,174.0,19.0,19.0
t3,30,00:00:01,395.0,171.0,19.0,19.0
t3,31,00:00:01,398.0,168.0,19.0,19.0
t3,32,00:00:01,402.0,167.0,19.0,19.0
t3,33,00:00:01,407.0,165.0,19.0,19.0
t3,34,00:00:01,409.0,163.0,19.0,19.0
t3,35,00:00:01,411.0,163.0,19.0,19.0
t3,36,00:00:01,416.0,161.0,19.0,19.0
t3,37,00:00:01,421.0,162.0,19.0,19.0
t3,38,00:00:01,424.0,163.0,19.0,19.0
t3,39,00:00:01,428.0,160.0,19.0,19.0
t3,40,00:00:01,432.0,159.0,19.0,19.0
t3,41,00:00:01,435.0,156.0,19.0,19.0
t3,42,00:00:01,437.0,156.0,19.0,19.0
t3,43,00:00:01,439.0,155.0,19.0,19.0
t3,44,00:00:01,440.0,154.0,19.0,19.0
t3,45,00:00:01,442.0,155.0,19.0,19.0
t3,46,00:00:01,443.0,153.0,19.0,19.0
t3,47,00:00:01,444.0,152.0,19.0,19.0
t3,48,00:00:01,446.0,152.0,19.0,19.0
t3,49,00:00:01,446.0,151.0,19.0,19.0
t3,50,00:00:01,447.0,147.0,19.0,19.0
t3,51,00:00:01,447.0,145.0,19.0,19.0
t3,52,00:00:01,448.0,144.0,19.0,19.0
t3,53,00:00:01,451.0,143.0,19.0,19.0
t3,54,00:00:01,451.0,140.0,19.0,19.0
t3,55,00:00:01,452.0,138.0,19.0,19.0
t3,56,00:00:01,453.0,136.0,19.0,19.0
t3,57,00:00:01,452.0,133.0,19.0,19.0
t3,58,00:00:01,454.0,130.0,19.0,19.0
t3,59,00:00:01,455.0,129.0,19.0,19.0
t3,60,00:00:02,455.0,125.0,19.0,19.0
t3,61,00:00:02,455.0,122.0,19.0,19.0
t3,62,00:00:02,456.0,120.0,19.0,19.0
t3,63,00:00:02,457.0,115.0,19.0,19.0
t3,64,00:00:02,458.0,112.0,19.0,19.0
t3,65,00:00:02,461.0,111.0,19.0,19.0
t3,66,00:00:02,462.0,107.0,19.0,19.0
t3,67,00:00:02,465.0,105.0,19.0,19.0
t3,68,00:00:02,465.0,102.0,19.0,19.0
t3,69,00:00:02,468.0,99.0,19.0,19.0
t3,70,00:00:02,471.0,96.0,19.0,19.0
t3,71,00:00:02,475.0,95.0,19.0,19.0
t3,72,00:00:02,477.0,91.0,19.0,19.0
t3,73,00:00:02,479.0,90.0,19.0,19.0
t3,74,00:00:02,481.0,88.0,19.0,19.0
t3,75,00:00:02,485.0,86.0,19.0,19.0
t3,76,00:00:02,487.0,85.0,19.0,19.0
t3,77,00:00:02,492.0,84.0,19.0,19.0
t3,78,00:00:02,497.0,84.0,19.0,19.0
t3,79,00:00:02,498.0,84.0,19.0,19.0
t3,80,00:00:02,502.0,84.0,19.0,19.0
t3,81,00:00:02,505.0,84.0,19.0,19.0
t3,82,00:00:02,506.0,84.0,19.0,19.0
t3,83,00:00:02,509.0,86.0,19.0,19.0
t3,84,00:00:02,509.0,86.0,19.0,19.0
t3,85,00:00:02,510.0,87.0,19.0,19.0
t3,86,00:00:02,513.0,87.0,19.0,19.0
t3,87,00:00:02,514.0,88.0,19.0,19.0
t3,88,00:00:02,517.0,90.0,19.0,19.0
t3,89,00:00:02,518.0,91.0,19.0,19.0
t3,90,00:00:03,520.0,91.0,19.0,19.0
t3,91,00:00:03,523.0,92.0,19.0,19.0
t3,92,00:00:03,523.0,94.0,19.0,19.0
t3,93,00:00:03,525.0,94.0,19.0,19.0
t3,94,00:00:03,526.0,95.0,19.0,19.0
t3,95,00:00:03,528.0,94.0,19.0,19.0
t3,96,00:00:03,530.0,95.0,19.0,19.0
t3,97,00:00:03,531.0,94.0,19.0,19.0
t3,98,00:00:03,531.0,95.0,19.0,19.0
t3,99,00:00:03,532.0,95.0,19.0,19.0
t3,100,00:00:03,534.0,94.0,19.0,19.0
t3,101,00:00:03,536.0,95.0,19.0,19.0
t3,102,00:00:03,537.0,94.0,19.0,19.0
t3,103,00:00:03,538.0,95.0,19.0,19.0
t3,104,00:00:03,542.0,94.0,19.0,19.0
t3,105,00:00:03,544.0,94.0,19.0,19.0
t3,106,00:00:03,547.0,93.0,19.0,19.0
t3,107,00:00:03,548.0,92.0,19.0,19.0
t3,108,00:00:03,551.0,92.0,19.0,19.0
t3,109,00:00:03,553.0,93.0,19.0,19.0
t3,110,00:00:03,556.0,93.0,19.0,19.0
t3,111,00:00:03,560.0,93.0,19.0,19.0
t3,112,00:00:03,563.0,93.0,19.0,19.0
t3,113,00:00:03,565.0,92.0,19.0,19.0
t3,114,00:00:03,568.0,94.0,19.0,19.0
t3,115,00:00:03,571.0,94.0,19.0,19.0
