label,frame,time,x,y,xoffset,yoffset
t4,1,00:00:00,364.0,308.0,21.0,25.0
t4,2,00:00:00,364.0,308.0,21.0,25.0
t4,3,00:00:00,365.0,310.0,21.0,25.0
t4,4,00:00:00,365.0,313.0,21.0,25.0
t4,5,00:00:00,366.0,316.0,21.0,25.0
t4,6,00:00:00,366.0,318.0,21.0,25.0
t4,7,00:00:00,366.0,320.0,21.0,25.0
t4,8,00:00:00,366.0,322.0,21.0,25.0
t4,9,00:00:00,366.0,327.0,21.0,25.0
t4,10,00:00:00,367.0,331.0,21.0,25.0
t4,11,00:00:00,371.0,335.0,21.0,25.0
t4,12,00:00:00,372.0,338.0,21.0,25.0
t4,13,00:00:00,373.0,340.0,21.0,25.0
t4,14,00:00:00,375.0,345.0,21.0,25.0
t4,15,00:00:00,377.0,348.0,21.0,25.0
t4,16,00:00:00,378.0,348.0,21.0,25.0
t4,17,00:00:00,378.0,350.0,21.0,25.0
t4,18,00:00:00,379.0,353.0,21.0,25.0
t4,19,00:00:00,380.0,361.0,21.0,25.0
t4,20,00:00:00,381.0,366.0,21.0,25.0
t4,21,00:00:00,384.0,368.0,21.0,25.0
t4,22,00:00:00,386.0,372.0,21.0,25.0
t4,23,00:00:00,387.0,375.0,21.0,25.0
t4,24,00:00:00,391.0,383.0,21.0,25.0
t4,25,00:00:00,394.0,384.0,21.0,25.0
t4,26,00:00:00,398.0,387.0,21.0,25.0
t4,27,00:00:00,400.0,390.0,21.0,25.0
t4,28,00:00:00,403.0,394.0,21.0,25.0
t4,29,00:00:00,406.0,396.0,21.0,25.0
t4,30,00:00:01,407.0,397.0,21.0,25.0
t4,31,00:00:01,412.0,401.0,21.0,25.0
t4,32,00:00:01,415.0,405.0,21.0,25.0
t4,33,00:00:01,417.0,412.0,21.0,25.0
t4,34,00:00:01,421.0,415.0,21.0,25.0
t4,35,00:00:01,424.0,419.0,21.0,25.0
t4,36,00:00:01,426.0,422.0,21.0,25.0
t4,37,00:00:01,428.0,424.0,21.0,25.0
t4,38,00:00:01,433.0,429.0,21.0,25.0
t4,39,00:00:01,438.0,432.0,21.0,25.0
t4,40,00:00:01,443.0,434.0,21.0,25.0
t4,41,00:00:01,447.0,437.0,21.0,25.0
t4,42,00:00:01,452.0,443.0,21.0,25.0
t4,43,00:00:01,454.0,445.0,21.0,25.0
t4,44,00:00:01,460.0,446.0,21.0,25.0
t4,45,00:00:01,463.0,448.0,21.0,25.0
t4,46,00:00:01,467.0,453.0,21.0,25.0
t4,47,00:00:01,472.0,456.0,21.0,25.0
t4,48,00:00:01,476.0,456.0,21.0,25.0
t4,49,00:00:01,482.0,459.0,21.0,25.0
t4,50,00:00:01,485.0,462.0,21.0,25.0
t4,51,00:00:01,491.0,463.0,21.0,25.0
t4,52,00:00:01,495.0,464.0,21.0,25.0
t4,53,00:00:01,502.0,464.0,21.0,25.0
t4,54,00:00:01,504.0,465.0,21.0,25.0
t4,55,00:00:01,510.0,469.0,21.0,25.0
t4,56,00:00:01,514.0,469.0,21.0,25.0
t4,57,00:00:01,520.0,470.0,21.0,25.0
t4,58,00:00:01,524.0,470.0,21.0,25.0
t4,59,00:00:01,530.0,472.0,21.0,25.0
t4,60,00:00:02,536.0,471.0,21.0,25.0
t4,61,00:00:02,539.0,471.0,21.0,25.0
t4,62,00:00:02,545.0,471.0,21.0,25.0
t4,63,00:00:02,548.0,472.0,21.0,25.0
t4,64,00:00:02,553.0,471.0,21.0,25.0
