,frame,label,time,x,xoffset,y,yoffset
0,1,t2,00:00:00,368.0,14.0,191.0,20.0
1,2,t2,00:00:00,368.0,14.0,191.0,20.0
2,3,t2,00:00:00,367.0,14.0,191.0,20.0
3,4,t2,00:00:00,367.0,14.0,191.0,20.0
4,5,t2,00:00:00,367.0,14.0,191.0,20.0
5,6,t2,00:00:00,366.0,14.0,192.0,20.0
6,7,t2,00:00:00,365.0,14.0,192.0,20.0
7,8,t2,00:00:00,364.0,14.0,192.0,20.0
8,9,t2,00:00:00,363.0,14.0,192.0,20.0
9,10,t2,00:00:00,362.0,14.0,192.0,20.0
10,11,t2,00:00:00,362.0,14.0,192.0,20.0
11,12,t2,00:00:00,362.0,14.0,192.0,20.0
12,13,t2,00:00:00,362.0,14.0,192.0,20.0
13,14,t2,00:00:00,361.0,14.0,192.0,20.0
14,15,t2,00:00:00,361.0,14.0,193.0,20.0
15,16,t2,00:00:00,360.0,14.0,193.0,20.0
16,17,t2,00:00:00,359.0,14.0,193.0,20.0
17,18,t2,00:00:00,359.0,14.0,193.0,20.0
18,19,t2,00:00:00,359.0,14.0,194.0,20.0
19,20,t2,00:00:00,358.0,14.0,193.0,20.0
20,21,t2,00:00:00,358.0,14.0,193.0,20.0
21,22,t2,00:00:00,358.0,14.0,194.0,20.0
22,23,t2,00:00:00,358.0,14.0,194.0,20.0
23,24,t2,00:00:00,357.0,14.0,194.0,20.0
24,25,t2,00:00:00,357.0,14.0,195.0,20.0
25,26,t2,00:00:00,357.0,14.0,195.0,20.0
26,27,t2,00:00:00,356.0,14.0,195.0,20.0
27,28,t2,00:00:00,356.0,14.0,195.0,20.0
28,29,t2,00:00:00,356.0,14.0,195.0,20.0
29,30,t2,00:00:01,356.0,14.0,195.0,20.0
30,31,t2,00:00:01,356.0,14.0,195.0,20.0
31,32,t2,00:00:01,356.0,14.0,195.0,20.0
32,33,t2,00:00:01,356.0,14.0,196.0,20.0
33,34,t2,00:00:01,356.0,14.0,196.0,20.0
34,35,t2,00:00:01,356.0,14.0,196.0,20.0
35,36,t2,00:00:01,356.0,14.0,196.0,20.0
36,37,t2,00:00:01,356.0,14.0,196.0,20.0
37,38,t2,00:00:01,356.0,14.0,197.0,20.0
38,39,t2,00:00:01,356.0,14.0,197.0,20.0
39,40,t2,00:00:01,356.0,14.0,198.0,20.0
40,41,t2,00:00:01,356.0,14.0,198.0,20.0
41,42,t2,00:00:01,356.0,14.0,199.0,20.0
42,43,t2,00:00:01,356.0,14.0,199.0,20.0
43,44,t2,00:00:01,356.0,14.0,200.0,20.0
44,45,t2,00:00:01,356.0,14.0,200.0,20.0
45,46,t2,00:00:01,356.0,14.0,201.0,20.0
46,47,t2,00:00:01,357.0,14.0,201.0,20.0
47,48,t2,00:00:01,357.0,14.0,203.0,20.0
48,49,t2,00:00:01,357.0,14.0,203.0,20.0
49,50,t2,00:00:01,357.0,14.0,204.0,20.0
50,51,t2,00:00:01,357.0,14.0,204.0,20.0
51,52,t2,00:00:01,358.0,14.0,206.0,20.0
52,53,t2,00:00:01,358.0,14.0,208.0,20.0
53,54,t2,00:00:01,357.0,14.0,210.0,20.0
54,55,t2,00:00:01,357.0,14.0,211.0,20.0
55,56,t2,00:00:01,357.0,14.0,212.0,20.0
56,57,t2,00:00:01,357.0,14.0,214.0,20.0
57,58,t2,00:00:01,357.0,14.0,216.0,20.0
58,59,t2,00:00:01,357.0,14.0,218.0,20.0
59,60,t2,00:00:02,357.0,14.0,220.0,20.0
60,61,t2,00:00:02,357.0,14.0,223.0,20.0
61,62,t2,00:00:02,357.0,14.0,226.0,20.0
62,63,t2,00:00:02,356.0,14.0,229.0,20.0
63,64,t2,00:00:02,356.0,14.0,231.0,20.0
64,65,t2,00:00:02,355.0,14.0,233.0,20.0
65,66,t2,00:00:02,355.0,14.0,236.0,20.0
66,67,t2,00:00:02,354.0,14.0,239.0,20.0
67,68,t2,00:00:02,355.0,14.0,243.0,20.0
68,69,t2,00:00:02,354.0,14.0,247.0,20.0
69,70,t2,00:00:02,353.0,14.0,250.0,20.0
70,71,t2,00:00:02,352.0,14.0,252.0,20.0
71,72,t2,00:00:02,351.0,14.0,254.0,20.0
72,73,t2,00:00:02,349.0,14.0,258.0,20.0
73,74,t2,00:00:02,349.0,14.0,262.0,20.0
74,75,t2,00:00:02,349.0,14.0,266.0,20.0
75,76,t2,00:00:02,349.0,14.0,270.0,20.0
76,77,t2,00:00:02,348.0,14.0,272.0,20.0
77,78,t2,00:00:02,347.0,14.0,274.0,20.0
