label,frame,time,x,y,xoffset,yoffset,distance_to_t1,interaction_with_t1,distance_to_t3,interaction_with_t3,distance_to_t4,interaction_with_t4
t2,1,00:00:00,371.5,199.5,15.0,13.0,242.8,no-interaction,24.7,no-interaction,122.1,no-interaction
t2,2,00:00:00,371.5,199.5,15.0,13.0,242.8,no-interaction,24.7,no-interaction,122.1,no-interaction
t2,3,00:00:00,370.5,199.5,15.0,13.0,246.9,no-interaction,25.3,no-interaction,124.1,no-interaction
t2,4,00:00:00,369.5,199.5,15.0,13.0,249.6,no-interaction,25.9,no-interaction,127.1,no-interaction
t2,5,00:00:00,369.5,199.5,15.0,13.0,253.7,no-interaction,26.3,no-interaction,129.2,no-interaction
t2,6,00:00:00,368.5,200.5,15.0,13.0,257.7,no-interaction,24.9,no-interaction,130.3,no-interaction
t2,7,00:00:00,366.5,199.5,15.0,13.0,260.9,no-interaction,26.5,no-interaction,133.4,no-interaction
t2,8,00:00:00,365.5,200.5,15.0,13.0,264.5,no-interaction,26.2,no-interaction,134.5,no-interaction
t2,9,00:00:00,365.5,200.5,15.0,13.0,267.2,no-interaction,26.2,no-interaction,139.5,no-interaction
t2,10,00:00:00,364.5,200.5,15.0,13.0,271.3,no-interaction,27.0,no-interaction,143.6,no-interaction
t2,11,00:00:00,363.5,200.5,15.0,13.0,273.0,no-interaction,27.9,no-interaction,148.0,no-interaction
t2,12,00:00:00,363.5,200.5,15.0,13.0,274.9,no-interaction,27.3,no-interaction,151.1,no-interaction
t2,13,00:00:00,363.5,200.5,15.0,13.0,278.0,no-interaction,27.6,no-interaction,153.2,no-interaction
t2,14,00:00:00,363.5,201.5,15.0,13.0,283.5,no-interaction,27.1,no-interaction,157.5,no-interaction
t2,15,00:00:00,362.5,202.5,15.0,13.0,286.5,no-interaction,27.2,no-interaction,159.9,no-interaction
t2,16,00:00:00,361.5,201.5,15.0,13.0,288.4,no-interaction,27.8,no-interaction,161.2,no-interaction
t2,17,00:00:00,361.5,202.5,15.0,13.0,290.6,no-interaction,27.3,no-interaction,162.3,no-interaction
t2,18,00:00:00,360.5,202.5,15.0,13.0,293.7,no-interaction,27.9,no-interaction,165.6,no-interaction
t2,19,00:00:00,359.5,202.5,15.0,13.0,296.9,no-interaction,29.6,no-interaction,173.5,no-interaction
t2,20,00:00:00,359.5,202.5,15.0,13.0,298.7,no-interaction,30.5,no-interaction,178.8,no-interaction
t2,21,00:00:00,359.5,202.5,15.0,13.0,301.5,no-interaction,30.5,no-interaction,181.3,no-interaction
t2,22,00:00:00,359.5,203.5,15.0,13.0,302.8,no-interaction,30.8,no-interaction,184.6,no-interaction
t2,23,00:00:00,358.5,204.5,15.0,13.0,305.4,no-interaction,34.3,no-interaction,187.2,no-interaction
t2,24,00:00:00,357.5,204.5,15.0,13.0,306.3,no-interaction,36.7,no-interaction,195.7,no-interaction
t2,25,00:00:00,358.5,204.5,15.0,13.0,305.9,no-interaction,37.6,no-interaction,197.1,no-interaction
t2,26,00:00:00,357.5,205.5,15.0,13.0,309.1,no-interaction,41.0,no-interaction,200.7,no-interaction
t2,27,00:00:00,357.5,206.5,15.0,13.0,310.8,no-interaction,44.9,no-interaction,202.9,no-interaction
t2,28,00:00:00,357.5,205.5,15.0,13.0,311.3,no-interaction,47.6,no-interaction,208.5,no-interaction
t2,29,00:00:00,357.5,206.5,15.0,13.0,314.1,no-interaction,49.4,no-interaction,210.3,no-interaction
t2,30,00:00:01,357.5,205.5,15.0,13.0,314.2,no-interaction,52.7,no-interaction,212.5,no-interaction
t2,31,00:00:01,357.5,206.5,15.0,13.0,316.5,no-interaction,56.8,no-interaction,216.8,no-interaction
t2,32,00:00:01,357.5,206.5,15.0,13.0,317.4,no-interaction,60.4,no-interaction,221.8,no-interaction
t2,33,00:00:01,357.5,206.5,15.0,13.0,317.4,no-interaction,65.2,no-interaction,227.9,no-interaction
t2,34,00:00:01,356.5,207.5,15.0,13.0,319.2,no-interaction,69.3,no-interaction,232.9,no-interaction
t2,35,00:00:01,356.5,208.5,15.0,13.0,320.2,no-interaction,72.4,no-interaction,235.1,no-interaction
t2,36,00:00:01,356.5,208.5,15.0,13.0,320.2,no-interaction,77.3,no-interaction,239.0,no-interaction
t2,37,00:00:01,356.5,208.5,15.0,13.0,321.1,no-interaction,80.7,no-interaction,242.5,no-interaction
t2,38,00:00:01,356.5,209.5,15.0,13.0,323.3,no-interaction,85.2,no-interaction,247.6,no-interaction
t2,39,00:00:01,356.5,210.5,15.0,13.0,325.2,no-interaction,89.3,no-interaction,250.9,no-interaction
t2,40,00:00:01,356.5,210.5,15.0,13.0,324.4,no-interaction,92.4,no-interaction,255.0,no-interaction
t2,41,00:00:01,356.5,211.5,15.0,13.0,325.0,no-interaction,97.8,no-interaction,258.3,no-interaction
t2,42,00:00:01,357.5,212.5,15.0,13.0,323.5,no-interaction,99.2,no-interaction,264.1,no-interaction
t2,43,00:00:01,357.5,212.5,15.0,13.0,325.0,no-interaction,101.4,no-interaction,266.7,no-interaction
t2,44,00:00:01,357.5,213.5,15.0,13.0,327.2,no-interaction,103.6,no-interaction,270.5,no-interaction
t2,45,00:00:01,358.5,214.5,15.0,13.0,327.8,no-interaction,104.1,no-interaction,272.2,no-interaction
t2,46,00:00:01,358.5,214.5,15.0,13.0,328.9,no-interaction,105.5,no-interaction,278.5,no-interaction
t2,47,00:00:01,358.5,215.5,15.0,13.0,331.1,no-interaction,107.9,no-interaction,281.1,no-interaction
t2,48,00:00:01,359.5,217.5,15.0,13.0,331.5,no-interaction,108.9,no-interaction,281.1,no-interaction
t2,49,00:00:01,360.5,217.5,15.0,13.0,330.4,no-interaction,109.4,no-interaction,286.0,no-interaction
t2,50,00:00:01,360.5,217.5,15.0,13.0,332.9,no-interaction,111.9,no-interaction,290.1,no-interaction
t2,51,00:00:01,360.5,218.5,15.0,13.0,333.8,no-interaction,114.4,no-interaction,292.4,no-interaction
t2,52,00:00:01,361.5,219.5,15.0,13.0,335.7,no-interaction,115.6,no-interaction,294.7,no-interaction
t2,53,00:00:01,363.5,221.5,15.0,13.0,336.0,no-interaction,117.9,no-interaction,296.3,no-interaction
t2,54,00:00:01,363.5,223.5,15.0,13.0,339.5,no-interaction,121.0,no-interaction,295.2,no-interaction
t2,55,00:00:01,363.5,224.5,15.0,13.0,342.9,no-interaction,123.6,no-interaction,301.2,no-interaction
t2,56,00:00:01,363.5,224.5,15.0,13.0,344.5,no-interaction,125.7,no-interaction,303.0,no-interaction
t2,57,00:00:01,363.5,226.5,15.0,13.0,346.4,no-interaction,128.9,no-interaction,305.4,no-interaction
