label,frame,time,x,y,xoffset,yoffset,distance_to_t1,interaction_with_t1,distance_to_t2,interaction_with_t2,distance_to_t3,interaction_with_t3
t4,1,00:00:00,375.0,321.5,16.0,17.0,314.6,no-interaction,122.1,no-interaction,97.5,no-interaction
t4,2,00:00:00,375.0,321.5,16.0,17.0,314.6,no-interaction,122.1,no-interaction,97.5,no-interaction
t4,3,00:00:00,376.0,323.5,16.0,17.0,317.3,no-interaction,124.1,no-interaction,99.5,no-interaction
t4,4,00:00:00,375.0,326.5,16.0,17.0,320.8,no-interaction,127.1,no-interaction,102.5,no-interaction
t4,5,00:00:00,376.0,328.5,16.0,17.0,324.3,no-interaction,129.2,no-interaction,104.5,no-interaction
t4,6,00:00:00,377.0,330.5,16.0,17.0,327.9,no-interaction,130.3,no-interaction,108.6,no-interaction
t4,7,00:00:00,377.0,332.5,16.0,17.0,330.7,no-interaction,133.4,no-interaction,111.6,no-interaction
t4,8,00:00:00,377.0,334.5,16.0,17.0,334.2,no-interaction,134.5,no-interaction,114.7,no-interaction
t4,9,00:00:00,377.0,339.5,16.0,17.0,339.9,no-interaction,139.5,no-interaction,120.7,no-interaction
t4,10,00:00:00,378.0,343.5,16.0,17.0,345.0,no-interaction,143.6,no-interaction,125.7,no-interaction
t4,11,00:00:00,381.0,347.5,16.0,17.0,347.4,no-interaction,148.0,no-interaction,130.6,no-interaction
t4,12,00:00:00,382.0,350.5,16.0,17.0,350.3,no-interaction,151.1,no-interaction,134.6,no-interaction
t4,13,00:00:00,383.0,352.5,16.0,17.0,353.9,no-interaction,153.2,no-interaction,137.6,no-interaction
t4,14,00:00:00,385.0,357.5,16.0,17.0,359.5,no-interaction,157.5,no-interaction,144.5,no-interaction
t4,15,00:00:00,387.0,360.5,16.0,17.0,362.6,no-interaction,159.9,no-interaction,148.5,no-interaction
t4,16,00:00:00,388.0,360.5,16.0,17.0,363.4,no-interaction,161.2,no-interaction,150.5,no-interaction
t4,17,00:00:00,389.0,362.5,16.0,17.0,365.5,no-interaction,162.3,no-interaction,153.5,no-interaction
t4,18,00:00:00,390.0,365.5,16.0,17.0,369.2,no-interaction,165.6,no-interaction,158.5,no-interaction
t4,19,00:00:00,389.0,373.5,16.0,17.0,378.0,no-interaction,173.5,no-interaction,168.5,no-interaction
t4,20,00:00:00,391.0,378.5,16.0,17.0,381.9,no-interaction,178.8,no-interaction,175.5,no-interaction
t4,21,00:00:00,394.0,380.5,16.0,17.0,383.4,no-interaction,181.3,no-interaction,179.5,no-interaction
t4,22,00:00:00,396.0,384.5,16.0,17.0,385.9,no-interaction,184.6,no-interaction,185.6,no-interaction
t4,23,00:00:00,398.0,387.5,16.0,17.0,388.4,no-interaction,187.2,no-interaction,190.6,no-interaction
t4,24,00:00:00,400.0,395.5,16.0,17.0,393.5,no-interaction,195.7,no-interaction,200.6,no-interaction
t4,25,00:00:00,403.0,396.5,16.0,17.0,392.3,no-interaction,197.1,no-interaction,204.7,no-interaction
t4,26,00:00:00,409.0,399.5,16.0,17.0,392.3,no-interaction,200.7,no-interaction,211.0,no-interaction
t4,27,00:00:00,410.0,402.5,16.0,17.0,395.5,no-interaction,202.9,no-interaction,215.8,no-interaction
t4,28,00:00:00,413.0,406.5,16.0,17.0,397.6,no-interaction,208.5,no-interaction,222.9,no-interaction
t4,29,00:00:00,416.0,408.5,16.0,17.0,398.4,no-interaction,210.3,no-interaction,226.0,no-interaction
t4,30,00:00:01,417.0,409.5,16.0,17.0,398.4,no-interaction,212.5,no-interaction,230.9,no-interaction
t4,31,00:00:01,422.0,413.5,16.0,17.0,400.0,no-interaction,216.8,no-interaction,237.0,no-interaction
t4,32,00:00:01,426.0,417.5,16.0,17.0,401.6,no-interaction,221.8,no-interaction,243.1,no-interaction
t4,33,00:00:01,427.0,423.5,16.0,17.0,406.0,no-interaction,227.9,no-interaction,249.8,no-interaction
t4,34,00:00:01,430.0,428.5,16.0,17.0,408.3,no-interaction,232.9,no-interaction,256.9,no-interaction
t4,35,00:00:01,434.0,430.5,16.0,17.0,407.5,no-interaction,235.1,no-interaction,258.9,no-interaction
t4,36,00:00:01,437.0,433.5,16.0,17.0,408.5,no-interaction,239.0,no-interaction,264.9,no-interaction
t4,37,00:00:01,439.0,436.5,16.0,17.0,410.5,no-interaction,242.5,no-interaction,265.7,no-interaction
t4,38,00:00:01,443.0,441.5,16.0,17.0,413.7,no-interaction,247.6,no-interaction,271.7,no-interaction
t4,39,00:00:01,447.0,444.5,16.0,17.0,414.4,no-interaction,250.9,no-interaction,276.8,no-interaction
t4,40,00:00:01,453.0,446.5,16.0,17.0,411.4,no-interaction,255.0,no-interaction,279.9,no-interaction
t4,41,00:00:01,457.0,449.5,16.0,17.0,410.8,no-interaction,258.3,no-interaction,285.9,no-interaction
t4,42,00:00:01,461.0,455.5,16.0,17.0,413.7,no-interaction,264.1,no-interaction,292.0,no-interaction
t4,43,00:00:01,463.0,457.5,16.0,17.0,414.5,no-interaction,266.7,no-interaction,295.0,no-interaction
t4,44,00:00:01,470.0,459.5,16.0,17.0,414.0,no-interaction,270.5,no-interaction,297.3,no-interaction
t4,45,00:00:01,473.0,461.5,16.0,17.0,413.5,no-interaction,272.2,no-interaction,299.5,no-interaction
t4,46,00:00:01,477.0,466.5,16.0,17.0,415.2,no-interaction,278.5,no-interaction,305.7,no-interaction
t4,47,00:00:01,481.0,468.5,16.0,17.0,416.1,no-interaction,281.1,no-interaction,310.0,no-interaction
